Date,Open,High,Low,Close,Adj Close,Volume,VIX Closed,S&P Close,Percentage Change (Low),Percentage Change (High),Percentage Change (Close),Percentage Change(Volume),Percentage Change(Vix),Percentage Change(S&P),Next Day Percentage Change (Closed)
7/2/2018,1.6,1.65,1.56,1.58,1.58,566000,15.6,249.800003,,,,,,,
7/3/2018,1.56,1.62,1.56,1.59,1.59,463600,16.139999,248.789993,0.00%,-1.82%,0.63%,-18.09%,3.46%,-0.40%,-0.63%
7/5/2018,1.58,1.59,1.56,1.58,1.58,266100,14.97,250.919998,0.00%,-1.85%,-0.63%,-42.60%,-7.25%,0.86%,0.00%
7/6/2018,1.57,1.59,1.54,1.58,1.58,462000,13.37,253.009995,-1.28%,0.00%,0.00%,73.62%,-10.69%,0.83%,-3.16%
7/9/2018,1.57,1.58,1.53,1.53,1.53,1357400,12.69,255.25,-0.65%,-0.63%,-3.16%,193.81%,-5.09%,0.89%,-3.27%
7/10/2018,1.54,1.54,1.45,1.48,1.48,1063800,12.64,256.140015,-5.23%,-2.53%,-3.27%,-21.63%,-0.39%,0.35%,-0.68%
7/11/2018,1.48,1.49,1.47,1.47,1.47,385100,13.63,254.389999,-0.65%,-3.25%,-0.68%,-63.80%,7.83%,-0.68%,0.00%
7/12/2018,1.47,1.5,1.47,1.47,1.47,324800,12.58,256.570007,-5.23%,0.67%,0.00%,-15.66%,-7.70%,0.86%,3.40%
7/13/2018,1.48,1.53,1.47,1.52,1.52,657300,12.18,256.790009,1.38%,2.00%,3.40%,102.37%,-3.18%,0.09%,-3.95%
7/16/2018,1.52,1.54,1.46,1.46,1.46,1404700,12.83,256.630005,0.00%,0.65%,-3.95%,113.71%,5.34%,-0.06%,-3.42%
7/17/2018,1.46,1.47,1.35,1.41,1.41,2388600,12.06,257.730011,0.00%,-4.55%,-3.42%,70.04%,-6.00%,0.43%,8.51%
7/18/2018,1.4,1.55,1.4,1.53,1.53,1032400,12.1,258.200012,-0.68%,5.44%,8.51%,-56.78%,0.33%,0.18%,1.31%
7/19/2018,1.56,1.59,1.51,1.55,1.55,1021800,12.87,257.220001,-7.53%,2.58%,1.31%,-1.03%,6.36%,-0.38%,1.29%
7/20/2018,1.54,1.59,1.54,1.57,1.57,928200,12.86,256.980011,3.70%,0.00%,1.29%,-9.16%,-0.08%,-0.09%,2.55%
7/23/2018,1.58,1.63,1.55,1.61,1.61,1015300,12.62,257.470001,7.86%,2.52%,2.55%,9.38%,-1.87%,0.19%,0.00%
7/24/2018,1.63,1.63,1.59,1.61,1.61,642800,12.41,258.679993,1.99%,0.00%,0.00%,-36.69%,-1.66%,0.47%,-0.62%
7/25/2018,1.61,1.61,1.58,1.6,1.6,320300,12.29,261.049988,0.65%,-1.23%,-0.62%,-50.17%,-0.97%,0.92%,-2.50%
7/26/2018,1.59,1.6,1.53,1.56,1.56,525100,12.14,260.279999,2.58%,-0.62%,-2.50%,63.94%,-1.22%,-0.29%,-1.28%
7/27/2018,1.54,1.55,1.51,1.54,1.54,425300,13.03,258.589996,-0.63%,-3.13%,-1.28%,-19.01%,7.33%,-0.65%,0.65%
7/30/2018,1.55,1.58,1.46,1.55,1.55,3501900,14.26,257.100006,-3.16%,1.94%,0.65%,723.40%,9.44%,-0.58%,-1.94%
7/31/2018,1.56,1.57,1.5,1.52,1.52,386000,12.83,258.399994,-1.31%,-0.63%,-1.94%,-88.98%,-10.03%,0.51%,3.29%
8/1/2018,1.53,1.57,1.5,1.57,1.57,701000,13.15,258.079987,-3.31%,0.00%,3.29%,81.61%,2.49%,-0.12%,-1.91%
8/2/2018,1.55,1.57,1.51,1.54,1.54,276700,12.19,259.390015,2.74%,0.00%,-1.91%,-60.53%,-7.30%,0.51%,1.95%
8/3/2018,1.54,1.58,1.49,1.57,1.57,1348500,11.64,260.660004,0.00%,0.64%,1.95%,387.35%,-4.51%,0.49%,0.00%
8/6/2018,1.57,1.59,1.55,1.57,1.57,597500,11.27,261.640015,0.67%,0.63%,0.00%,-55.69%,-3.18%,0.38%,0.64%
8/7/2018,1.57,1.59,1.56,1.58,1.58,436200,10.93,262.369995,-1.32%,0.00%,0.64%,-27.00%,-3.02%,0.28%,-0.63%
8/8/2018,1.57,1.59,1.56,1.57,1.57,638200,10.85,262.230011,4.03%,0.00%,-0.63%,46.31%,-0.73%,-0.05%,1.27%
8/9/2018,1.57,1.59,1.57,1.59,1.59,600300,11.27,261.899994,0.65%,0.00%,1.27%,-5.94%,3.87%,-0.13%,-1.26%
8/10/2018,1.58,1.6,1.57,1.57,1.57,263000,13.16,260.119995,0.00%,0.63%,-1.26%,-56.19%,16.77%,-0.68%,1.27%
8/13/2018,1.58,1.59,1.56,1.59,1.59,323600,14.78,259.140015,0.64%,-0.62%,1.27%,23.04%,12.31%,-0.38%,-1.89%
